ComplaintText,Category,Urgency,Area,Latitude,Longitude
A big pothole near Khanapur Road Extension is causing traffic jams and minor accidents.,Pothole,High,Khanapur Road Extension,15.351202,75.106893
A big pothole near Madhalawada Junction is causing traffic jams and minor accidents.,Pothole,Low,Madhalawada Junction,15.388231,75.098716
A big pothole near Station Road Lane is causing traffic jams and minor accidents.,Pothole,High,Station Road Lane,15.347818,75.123821
Vehicles are getting stuck due to a pothole on the stretch near KHB Colony.,Pothole,Medium,KHB Colony,15.373693,75.126196
Severe road damage with deep potholes at Idgah Ground Phase 1 — two-wheeler riders are at risk.,Pothole,Low,Idgah Ground Phase 1,15.383266,75.09389
A big pothole near Mahadevapura Phase 1 is causing traffic jams and minor accidents.,Pothole,Low,Mahadevapura Phase 1,15.355115,75.102829
Severe road damage with deep potholes at Shivanahalli Phase 2 — two-wheeler riders are at risk.,Pothole,High,Shivanahalli Phase 2,15.357496,75.115039
Vehicles are getting stuck due to a pothole on the stretch near Akash Nagar Street.,Pothole,Medium,Akash Nagar Street,15.337307,75.121065
Severe road damage with deep potholes at Vidyagiri Street — two-wheeler riders are at risk.,Pothole,High,Vidyagiri Street,15.352291,75.131218
Vehicles are getting stuck due to a pothole on the stretch near Vidyanagar Market.,Pothole,Medium,Vidyanagar Market,15.338873,75.133176
Severe road damage with deep potholes at Vasavi Colony Cross — two-wheeler riders are at risk.,Pothole,Low,Vasavi Colony Cross,15.386019,75.145489
Severe road damage with deep potholes at Mahamane Layout Main Road — two-wheeler riders are at risk.,Pothole,Medium,Mahamane Layout Main Road,15.384747,75.103259
A big pothole near Siddeshwar Road Circle is causing traffic jams and minor accidents.,Pothole,Low,Siddeshwar Road Circle,15.376809,75.134513
Vehicles are getting stuck due to a pothole on the stretch near Gokul Road Block.,Pothole,Low,Gokul Road Block,15.366748,75.108189
Severe road damage with deep potholes at KHB Colony Bazaar — two-wheeler riders are at risk.,Pothole,Medium,KHB Colony Bazaar,15.390223,75.13479
Vehicles are getting stuck due to a pothole on the stretch near Idgah Ground Main Road.,Pothole,Medium,Idgah Ground Main Road,15.380799,75.096856
A big pothole near Bendre Layout Phase 2 is causing traffic jams and minor accidents.,Pothole,Low,Bendre Layout Phase 2,15.35877,75.097471
Vehicles are getting stuck due to a pothole on the stretch near Moti Talav Market.,Pothole,Medium,Moti Talav Market,15.374026,75.117238
Severe road damage with deep potholes at Khanapur Road Block — two-wheeler riders are at risk.,Pothole,High,Khanapur Road Block,15.343078,75.138199
Severe road damage with deep potholes at Ring Road Cross — two-wheeler riders are at risk.,Pothole,Low,Ring Road Cross,15.360406,75.128512
A big pothole near Vidyanagar Market is causing traffic jams and minor accidents.,Pothole,Low,Vidyanagar Market,15.343,75.123111
A big pothole near Ramnagar Bazaar is causing traffic jams and minor accidents.,Pothole,Low,Ramnagar Bazaar,15.34387,75.103099
Severe road damage with deep potholes at Appa Ghar Park — two-wheeler riders are at risk.,Pothole,Low,Appa Ghar Park,15.357786,75.129253
Vehicles are getting stuck due to a pothole on the stretch near Shankar Sheth Road Main Road.,Pothole,Medium,Shankar Sheth Road Main Road,15.367894,75.150046
Vehicles are getting stuck due to a pothole on the stretch near Appa Ghar Park.,Pothole,High,Appa Ghar Park,15.387787,75.138553
Vehicles are getting stuck due to a pothole on the stretch near Shivanahalli Street.,Pothole,Medium,Shivanahalli Street,15.35231,75.102989
Vehicles are getting stuck due to a pothole on the stretch near Hubballi Railway Station.,Pothole,Low,Hubballi Railway Station,15.350503,75.123535
Vehicles are getting stuck due to a pothole on the stretch near Old Hubli Layout.,Pothole,Low,Old Hubli Layout,15.386931,75.111407
Vehicles are getting stuck due to a pothole on the stretch near Khanapur Road Extension.,Pothole,Low,Khanapur Road Extension,15.34387,75.139251
Vehicles are getting stuck due to a pothole on the stretch near Ring Road Lane.,Pothole,Low,Ring Road Lane,15.370637,75.122816
Severe road damage with deep potholes at Vidyagiri Extension — two-wheeler riders are at risk.,Pothole,Low,Vidyagiri Extension,15.3846,75.111951
A big pothole near Koppikar Road Main Road is causing traffic jams and minor accidents.,Pothole,Low,Koppikar Road Main Road,15.391517,75.098639
A big pothole near Sanjay Nagar Layout is causing traffic jams and minor accidents.,Pothole,Low,Sanjay Nagar Layout,15.366662,75.101046
Severe road damage with deep potholes at Sukhsagar Phase 1 — two-wheeler riders are at risk.,Pothole,Low,Sukhsagar Phase 1,15.344608,75.12516
Severe road damage with deep potholes at Sindgi Cross Park — two-wheeler riders are at risk.,Pothole,Low,Sindgi Cross Park,15.390435,75.138816
A big pothole near Kinnal Road Phase 2 is causing traffic jams and minor accidents.,Pothole,Low,Kinnal Road Phase 2,15.35864,75.133801
Severe road damage with deep potholes at Vidyanagar Street — two-wheeler riders are at risk.,Pothole,Low,Vidyanagar Street,15.361789,75.108374
Severe road damage with deep potholes at Koppikar Road Colony — two-wheeler riders are at risk.,Pothole,High,Koppikar Road Colony,15.367935,75.128806
A big pothole near Kelgeri Lake is causing traffic jams and minor accidents.,Pothole,Low,Kelgeri Lake,15.338232,75.097544
Severe road damage with deep potholes at Court Road — two-wheeler riders are at risk.,Pothole,High,Court Road,15.34898,75.133639
Vehicles are getting stuck due to a pothole on the stretch near Idgah Ground Extension.,Pothole,High,Idgah Ground Extension,15.390831,75.127763
A big pothole near Shankar Sheth Road Junction is causing traffic jams and minor accidents.,Pothole,Low,Shankar Sheth Road Junction,15.38315,75.104925
Vehicles are getting stuck due to a pothole on the stretch near Hubballi Railway Station Extension.,Pothole,Medium,Hubballi Railway Station Extension,15.360115,75.121521
A big pothole near Madhalawada Cross is causing traffic jams and minor accidents.,Pothole,Low,Madhalawada Cross,15.39375,75.099405
Vehicles are getting stuck due to a pothole on the stretch near Shanti Nagar Street.,Pothole,Medium,Shanti Nagar Street,15.3864,75.108419
Vehicles are getting stuck due to a pothole on the stretch near Hosayellapur Main Road.,Pothole,Medium,Hosayellapur Main Road,15.360013,75.110213
A big pothole near Shivalli Circle Phase 1 is causing traffic jams and minor accidents.,Pothole,Medium,Shivalli Circle Phase 1,15.386381,75.12652
Vehicles are getting stuck due to a pothole on the stretch near Mahadevapura.,Pothole,Low,Mahadevapura,15.384862,75.15164
A big pothole near Ramnagar Park is causing traffic jams and minor accidents.,Pothole,High,Ramnagar Park,15.363838,75.106325
A big pothole near Shanti Nagar Colony is causing traffic jams and minor accidents.,Pothole,High,Shanti Nagar Colony,15.334829,75.116925
Severe road damage with deep potholes at Vasavi Colony Street — two-wheeler riders are at risk.,Pothole,Medium,Vasavi Colony Street,15.376495,75.13733
Vehicles are getting stuck due to a pothole on the stretch near Vasavi Colony Street.,Pothole,Low,Vasavi Colony Street,15.3639,75.104894
A big pothole near Idgah Ground Lane is causing traffic jams and minor accidents.,Pothole,Low,Idgah Ground Lane,15.367232,75.138379
A big pothole near Koppikar Road Block is causing traffic jams and minor accidents.,Pothole,Low,Koppikar Road Block,15.364871,75.144663
A big pothole near Kelgeri Lake Cross is causing traffic jams and minor accidents.,Pothole,Low,Kelgeri Lake Cross,15.339507,75.104649
A big pothole near Sindgi Cross Extension is causing traffic jams and minor accidents.,Pothole,Low,Sindgi Cross Extension,15.348812,75.100693
A big pothole near Moti Talav Block is causing traffic jams and minor accidents.,Pothole,Low,Moti Talav Block,15.337084,75.098419
Vehicles are getting stuck due to a pothole on the stretch near Sukhsagar Block.,Pothole,Low,Sukhsagar Block,15.353682,75.109146
Vehicles are getting stuck due to a pothole on the stretch near Appa Ghar Market.,Pothole,Medium,Appa Ghar Market,15.350637,75.101353
Severe road damage with deep potholes at Khanapur Road Phase 1 — two-wheeler riders are at risk.,Pothole,Medium,Khanapur Road Phase 1,15.390441,75.149644
Severe road damage with deep potholes at Hosayellapur — two-wheeler riders are at risk.,Pothole,Low,Hosayellapur,15.36848,75.099499
A big pothole near Ring Road Market is causing traffic jams and minor accidents.,Pothole,Low,Ring Road Market,15.342647,75.114441
A big pothole near Gokul Road Market is causing traffic jams and minor accidents.,Pothole,Medium,Gokul Road Market,15.344165,75.143525
Severe road damage with deep potholes at Patel Road Phase 1 — two-wheeler riders are at risk.,Pothole,Low,Patel Road Phase 1,15.393934,75.132739
Vehicles are getting stuck due to a pothole on the stretch near Old Hubli.,Pothole,Low,Old Hubli,15.352663,75.133303
Severe road damage with deep potholes at Navanagar Layout — two-wheeler riders are at risk.,Pothole,High,Navanagar Layout,15.341122,75.126693
Severe road damage with deep potholes at Basaveshwar Nagar Bazaar — two-wheeler riders are at risk.,Pothole,Low,Basaveshwar Nagar Bazaar,15.377757,75.105716
Severe road damage with deep potholes at Cotton Market Junction — two-wheeler riders are at risk.,Pothole,Low,Cotton Market Junction,15.349767,75.14799
A big pothole near Bendre Layout is causing traffic jams and minor accidents.,Pothole,Low,Bendre Layout,15.384461,75.096145
A big pothole near Akash Nagar Cross is causing traffic jams and minor accidents.,Pothole,Low,Akash Nagar Cross,15.350417,75.137974
